semptom;;;;;;;;;;
açýk renkli dýþký;dýþkýmýn rengi açýk;dýþkým açýk renkte;açýk renkli bir dýþký;;;;;;;
açlýk;aç;açlýðým;;;;;;;;
açlýk reddi;açlýðýmý reddediyorum;açlýk hissetmiyorum;kendimi aç hissetmiyorum;;;;;;;
aðýz içinde yumru;aðzýmda yumru;aðzýmda kitle;aðzýmda sert kitle;aðzýmda sert doku;aðzýmýn içinde kitle;aðzýmýn içinde yumru;;;;
aðýz kokusu;aðzým kokuyor;aðzýmda koku var;aðzým kötü kokuyor;aðzýmda kötü bir koku var;aðzýmda kötü koku var;;;;;
aðýzda aseton kokusu;aðzýmda aseton kokusu;aðzýmda aseton tadý;;;;;;;;
aðýzda köpük;aðzýmdan köpük;aðzýmýn içinden köpük;;;;;;;;
aðýzda uyuþma;aðzým uyuþuyor;aðzýmda uyuþukluk;;;;;;;;
aðrýsýz yara;yaralarým aðrýmýyor;yaralarýmda aðrý yok;yaralarýmda aðrýyor olmuyor;;;;;;;
akciðer sývýsý;akciðerimde sývý;akciðerde sývý;;;;;;;;
akne;sivilce;sivilceler;;;;;;;;
alt karýn aðrýsý;karnýmýn alt bölgesi aðrýyor;karnýmýn alt bölgesinde aðrý;;;;;;;;
artan gözyaþý;gözyaþýmda artýþ;gözlerimde yaþ;;;;;;;;
asimetrik ben;benimde asimetri;benlerim asimetrik;benlerimin þekli;ben þekli;;;;;;
ateþ;ateþim;yüksek ateþim;yüksek ateþ;;;;;;;
ayaklarýn istemsiz dönmesi;ayaklarýmda istemsiz hareket;ayaðýmda istemsiz hareket;;;;;;;;
bacak aðrýsý;bacaðým aðrýyor;bacaklarýmda aðrý;;;;;;;;
baðýrsak týkanmasý;týkanmýþ baðýrsaklar;baðýrsaklarým dolu;;;;;;;;
balgam;balgamým;balgamsý;;;;;;;;
baþ aðrýsý;baþým aðrýyor;baþýmda aðrý;baþýmda bir aðrý;;;;;;;
baþ dönmesi;baþým dönüyor;baþ dönmem;;;;;;;;
bayýlma;bayýldým;bayýlmýþtým;;;;;;;;
bel aðrýsý;belim aðrýyor;belimde aðrý;belde aðrý;belimde bir aðrý;;;;;;
ben kanamasý;benlerim kanýyor;benim kanýyor;benlerimde kanama;benimde kanama;;;;;;
ben sayýsýnda artýþ;benlerim arttý;çok fazla ben;çok fazla benim;;;;;;;
bilinç bulanýklýðý;bilincim açýk deðil;bulanýk bilinç;;;;;;;;
boðaz aðrýsý;boðazým aðrýyor;boðazýmda aðrý;;;;;;;;
boðazda yanma;boðazým yanýyor;boðazýmda yanma hissi;;;;;;;;
boyda kýsalma;boyum kýsaldý;boyum kýsalmýþ;boyumda kýsalma;;;;;;;
boynun istemsiz dönmesi;boynum istemsiz dönüyor;boynumda hareket;boynumda isteðim dýþýnda hareket;boynum isteðim dýþýnda;;;;;;
boyunda yumru;boynumda kitle;boynumda sertlik;boyun kitlesi;;;;;;;
böbrek yetmezliði;böbrek yetersizliði;böbrek yetmezliðim;;;;;;;;
böbrekte yumru;böbreklerde kitle;böbrekte kitle;böbrek kitlesi;böbrek yumrum;böbreðimde yumru;böbreðimde kitle;;;;
bulanýk görme;bulanýk görüyorum;görüþüm net deðil;net görmüyorum;görüþüm iyi deðil;;;;;;
bulantý;midem bulanýyor;bulantým;midemde bulanma;bulanma;mide bulantýsý;karným bulanýyor;karnýmda bulantý;;;
burun akýntýsý;burnum akýyor;burnumda akýntý;burunda mukus;burnumda mukus;burnumda salgý;;;;;
burun kanamasý;burnum kanýyor;burnumda kanama;;;;;;;;
ciltte döküntü;cildim dökülüyor;cildimde döküntüler;derimde döküntüler;derim dökülüyor;derimde döküntü;cildimde döküntü;;;;
ciltte kabarcýk;cildimde kabarcýk;cildimde kabarcýklar;derimde kabarcýk;derimde kabarcýklar;deride kabarcýk;;;;;
ciltte kaþýntý;cildim kaþýnýyor;derim kaþýnýyor;derimde kaþýntý;;;;;;;
ciltte kýrmýzlýk;kýrmýzý cilt;cildimde kýrmýzýlýk;derim kýrmýzý;derimde kýrmýzýlýk;deride kýrmýzýlýk;kýrmýzý deri;;;;
ciltte kuruluk;kuru cilt;cildimde kuruluk;kuru bir cilt;derimde kuruluk;deride kuruluk;derim kuru;kuru deri;;;
ciltte mavilik;cildimde mavilik;cildim mavi;mavi cilt;derimde mavilik;mavi bir deri;deride mavilikler;;;;
ciltte sarýlýk;sarý cilt;ciltte sararma;deride sararma;;;;;;;
ciltte yanma;cildim yanýyor;derimde yanma;deride yanma;derim yanýyor;;;;;;
çýban;apse;apsem;çýbaným;;;;;;;
çýnlama;kulak çýnlamasý;kulaðým çýnlýyor;kulaðýmda çýnlama;;;;;;;
çift görme;çift görüyorum;çift görmem;;;;;;;;
deride su toplanmasý;derimde su kabarcýðý;deride su kabarcýðý;derimde su kabarcýklarý;;;;;;;
dýþký rengide deðiþiklik;dýþkým farklý renkte;dýþkýmýn rengi farklý;;;;;;;;
dýþkýda kan;dýþkýmda kan;kanlý dýþký;kanlý dýþkým;;;;;;;
diþ kenetlenme;diþlerim kenetleniyor;diþ kenetlenmesi;;;;;;;;
diþlerde çürüme;çürüyor;çürüklerim;çürüðüm;;;;;;;
diz aðrýsý;dizlerim aðrýyor;dizimde aðrý;;;;;;;;
diz kilitlenmesi;dizlerim kitlendi;kitlenmiþ dizler;;;;;;;;
dizde çýtlama sesi;dizimde çýtlama;diz bölgesinde çýtlama;;;;;;;;
donuk bakýþ;bakýþlarda donukluk;dalgýnlýk;dalgýn bakýþlar;bakýþlarda dalgýnlýk;;;;;;
duyu kaybý;duyularýmda kayýp;duyumda kayýp;;;;;;;;
düþük kan basýncý;kan basýncým düþük;kan basýncým düþtü;;;;;;;;
düþük tansiyon;tansiyonum düþtü;tansiyonum çok düþtü;;;;;;;;
düzensiz kalp ritmi;kalbim düzensiz atýyor;kalp atýþýmda düzensizlik;çarpýntý;aritmi;;;;;;
eklem aðrýsý;eklemlerim aðrýyor;eklem aðrým;;;;;;;;
eklem boþalmasý;eklemlerde boþalma;eklemlerim boþaldý;;;;;;;;
ense aðrýsý;ensemde aðrý;ensem aðrýyor;;;;;;;;
felç;inme;felcim;inmem;;;;;;;
gaz;gazým;yellenme;geðirme;;;;;;;
gece görüþünde düþüþ;gece görüþünde kayýp;gece görmekte zorlanma;gece zor görüyorum;;;;;;;
gevþek diþ;diþlerim gevþek;diþim gevþek;;;;;;;;
